Country,GDP per capita,Life expectancy,Population (historical estimates),Continent
Hong Kong,4.6351875967655305,82.903,6966324.0,Asia
Hungary,4.301818277816289,74.488,9927380.0,Europe
Iceland,4.55957972834165,81.801,320342.0,Europe
India,3.655690128263586,66.693,1234281163.0,Asia
Indonesia,3.9235772920659273,69.205,241834226.0,Asia
Iran,4.249230917246407,73.905,73762519.0,Asia
Iraq,4.011753523346813,68.567,29741977.0,Asia
Ireland,4.686848990177364,80.182,4554330.0,Europe
Israel,4.45599431694555,81.463,7346446.0,Asia
Italy,4.541153950082924,81.958,59325232.0,Europe
Jamaica,3.846703830923497,74.038,2810464.0,North America
Japan,4.544209508246066,82.971,128542349.0,Asia
Jordan,4.064498702426196,73.428,7261541.0,Asia
Kazakhstan,4.300259088422688,67.378,16252273.0,Asia
Kenya,3.4115407346203037,60.959,42030684.0,Africa
Kuwait,4.838000504297842,74.358,2991884.0,Asia
Kyrgyzstan,3.599626446078009,68.849,5422298.0,Asia
Laos,3.614265374677024,64.306,6249168.0,Asia
Latvia,4.234016556621614,72.838,2118855.0,Europe
Lebanon,4.193746838797462,78.36,4953064.0,Asia
Lesotho,3.364341226429091,45.1,1995575.0,Africa
Liberia,2.9315773615130323,59.6,3891357.0,Africa
Libya,4.4647449534242005,72.044,6197667.0,Africa
Lithuania,4.2709991621082555,72.826,3123825.0,Europe
Luxembourg,4.733087572230416,80.352,507890.0,Europe
Madagascar,3.1302114410745956,63.388,21151640.0,Africa
Malawi,3.0380585936136866,55.564,14539609.0,Africa
Malaysia,4.268912446357778,74.493,28208028.0,Asia
Mali,3.177535230229853,55.251,15049352.0,Africa
Malta,4.373511956334019,80.868,414257.0,Europe
Mauritania,3.4746166796551985,62.527,3494200.0,Africa
Mauritius,4.211369406682603,73.46,1247953.0,Africa
Mexico,4.1672375029037685,75.065,114092961.0,North America
Moldova,3.6642021943051564,69.616,4086090.0,Europe
Mongolia,3.8937653173788043,67.38,2719902.0,Asia
Montenegro,4.161660396624585,75.151,624279.0,Europe
Morocco,3.8408308803568745,74.382,32343384.0,Africa
Mozambique,2.980698822529038,52.31,23531567.0,Africa
Myanmar,3.5766866325421427,63.525,50600827.0,Asia
Namibia,3.89793158987212,56.665,2118877.0,Africa
Nepal,3.332897680403567,67.611,27013207.0,Asia
Netherlands,4.641596540492575,80.797,16682927.0,Europe
New Zealand,4.499495858872357,80.86,4370060.0,Oceania
Nicaragua,3.5929497907190946,72.428,5824058.0,North America
Niger,2.9085693496065588,57.333,16464025.0,Africa
Nigeria,3.6906271381815845,50.896,158503203.0,Africa
North Korea,3.2433943465857276,69.571,24548840.0,Asia
North Macedonia,4.042901784006475,74.662,2070737.0,Europe
Norway,4.8947376626178976,81.156,4885878.0,Europe
Oman,4.664474242517287,75.682,3041435.0,Asia
Pakistan,3.6389150560949273,65.264,179424643.0,Asia
Palestine,3.6578711684899505,72.788,4055632.0,Asia
Panama,4.180960521529822,76.792,3642691.0,North America
Paraguay,3.853639012308821,72.653,6248017.0,South America
Peru,3.9780791286239845,74.41,29027680.0,South America
Philippines,3.7554210247127866,69.823,93966784.0,Asia
Poland,4.314050451873607,76.33,38329784.0,Europe
Portugal,4.40591235185294,79.995,10596055.0,Europe
Puerto Rico,4.521078466154019,78.572,3579842.0,North America
Qatar,5.129698854746429,79.108,1856329.0,Asia
Romania,4.214243047026698,74.066,20471860.0,Europe
Russia,4.337207275437497,68.715,143479273.0,Europe
Rwanda,3.1511835571169966,63.433,10039338.0,Africa
Saint Lucia,4.002538539610279,74.852,174092.0,North America
Sao Tome and Principe,3.490428387539491,67.43,180372.0,Africa
Saudi Arabia,4.630810685848751,73.917,27421468.0,Asia
Senegal,3.3327059635143765,64.284,12678143.0,Africa
Serbia,4.077860254141323,74.101,8991258.0,Europe
Seychelles,4.304214227748303,72.892,91273.0,Africa
Sierra Leone,3.152640561147534,49.382,6415636.0,Africa
Singapore,4.767991957358381,81.833,5131170.0,Asia
Slovakia,4.34126061764289,75.493,5404293.0,Europe
Slovenia,4.4149887267342764,79.421,2043336.0,Europe
South Africa,4.0537928848638085,57.669,51216967.0,Africa
South Korea,4.49883102154232,80.432,49545638.0,Asia
Spain,4.502241398902739,81.9,46931011.0,Europe
Sri Lanka,3.9201078177337068,75.439,20261738.0,Asia
Sudan,3.5690580474734954,62.764,34545014.0,Africa
Sweden,4.629763766566363,81.514,9390157.0,Europe
Switzerland,4.757544045596179,82.269,7808674.0,Europe
Syria,3.8142883788646977,72.108,21362541.0,Asia
Taiwan,4.572703070212825,78.753,23187556.0,Asia
Tajikistan,3.47362224449916,68.736,7527397.0,Asia
Tanzania,3.315731879603507,58.584,44346532.0,Africa
Thailand,4.125271279918924,74.184,67195032.0,Asia
Togo,3.075964595607608,57.468,6421674.0,Africa
Trinidad and Tobago,4.480524260542928,71.946,1328144.0,North America
Tunisia,4.030268159530783,75.041,10635245.0,Africa
Turkey,4.218223438925346,74.507,72326992.0,Asia
Turkmenistan,4.158276502323262,66.657,5087211.0,Asia
Uganda,3.2627572898969515,57.099,32428164.0,Africa
Ukraine,3.9823259054638367,69.361,45792086.0,Europe
United Arab Emirates,4.7789640813386995,76.332,8549998.0,Asia
